author,year-month,checkouts,num_titles,author_gender,author_nationality
Albert Camus,2012-03-01,28,3,male,FR
Albert Camus,2012-04-01,23,3,male,FR
Albert Camus,2012-05-01,18,3,male,FR
Albert Camus,2012-06-01,22,3,male,FR
Albert Camus,2012-07-01,20,3,male,FR
Albert Camus,2012-08-01,19,3,male,FR
Albert Camus,2012-09-01,11,3,male,FR
Albert Camus,2012-10-01,15,3,male,FR
Albert Camus,2012-11-01,23,3,male,FR
Albert Camus,2012-12-01,19,3,male,FR
Albert Camus,2013-01-01,35,3,male,FR
Albert Camus,2013-02-01,21,3,male,FR
Albert Camus,2013-03-01,42,3,male,FR
Albert Camus,2013-04-01,25,3,male,FR
Albert Camus,2013-05-01,28,3,male,FR
Albert Camus,2013-06-01,36,3,male,FR
Albert Camus,2013-07-01,32,3,male,FR
Albert Camus,2013-08-01,38,3,male,FR
Albert Camus,2013-09-01,37,3,male,FR
Albert Camus,2013-10-01,35,3,male,FR
Albert Camus,2013-11-01,36,3,male,FR
Albert Camus,2013-12-01,34,3,male,FR
Albert Camus,2014-01-01,38,3,male,FR
Albert Camus,2014-02-01,30,3,male,FR
Albert Camus,2014-03-01,36,3,male,FR
Albert Camus,2014-04-01,31,3,male,FR
Albert Camus,2014-05-01,38,3,male,FR
Albert Camus,2014-06-01,39,3,male,FR
Albert Camus,2014-07-01,46,3,male,FR
Albert Camus,2014-08-01,45,3,male,FR
Albert Camus,2014-09-01,45,3,male,FR
Albert Camus,2014-10-01,35,3,male,FR
Albert Camus,2014-11-01,35,3,male,FR
Albert Camus,2014-12-01,41,3,male,FR
Albert Camus,2015-01-01,36,3,male,FR
Albert Camus,2015-02-01,28,3,male,FR
Albert Camus,2015-03-01,36,3,male,FR
Albert Camus,2015-04-01,30,3,male,FR
Albert Camus,2015-05-01,34,3,male,FR
Albert Camus,2015-06-01,29,3,male,FR
Albert Camus,2015-07-01,32,3,male,FR
Albert Camus,2015-08-01,45,3,male,FR
Albert Camus,2015-09-01,48,3,male,FR
Albert Camus,2015-10-01,41,3,male,FR
Albert Camus,2015-11-01,39,3,male,FR
Albert Camus,2015-12-01,42,3,male,FR
Albert Camus,2016-01-01,44,3,male,FR
Albert Camus,2016-02-01,34,3,male,FR
Albert Camus,2016-03-01,40,3,male,FR
Albert Camus,2016-04-01,40,3,male,FR
Albert Camus,2016-05-01,34,3,male,FR
Albert Camus,2016-06-01,39,3,male,FR
